ID	FILE	AUTHOR	BORN-DIED	TITLE	DATE	TECHNIQUE	LOCATION	FORM	TYPE	SCHOOL	TIMELINE	URL
10340	10340.jpg	DANTI, Vincenzo	(b. 1530, Perugia, d. 1576, Perugia)	Honour Triumphant over Falsehood (rear view)	1561	Marble, height 187 cm	Museo Nazionale del Bargello, Florence	sculpture	mythological	Italian	1551-1600	http://www.wga.hu/html/d/danti/honour2.html
10345	10345.jpg	DANTI, Vincenzo	(b. 1530, Perugia, d. 1576, Perugia)	Venus Anadyomene	1572-73	Bronze	Palazzo Vecchio, Florence	sculpture	mythological	Italian	1551-1600	http://www.wga.hu/html/d/danti/venus.html
10352	10352.jpg	DAUBIGNY, Charles-François	(b. 1817, Paris, d. 1878, Paris)	The Barges	1865	Oil on canvas, 38 x 67 cm	Musée du Louvre, Paris	painting	landscape	French	1851-1900	http://www.wga.hu/html/d/daubigny/charles/barges.html
10353	10353.jpg	DAUBIGNY, Charles-François	(b. 1817, Paris, d. 1878, Paris)	Harvest Time	1851	Oil on canvas, 135 x 196 cm	Musée d'Orsay, Paris	painting	landscape	French	1851-1900	http://www.wga.hu/html/d/daubigny/charles/harvest.html
10354	10354.jpg	DAUBIGNY, Charles-François	(b. 1817, Paris, d. 1878, Paris)	The Mouth of the Thames	1866	Oil on wood, 27 x 45 cm	Musée des Beaux-Arts, Lyon	painting	landscape	French	1851-1900	http://www.wga.hu/html/d/daubigny/charles/mouth.html
10355	10355.jpg	DAUBIGNY, Charles-François	(b. 1817, Paris, d. 1878, Paris)	The Pool at Gyliez	1853	Oil on canvas, 62 x 100 cm	Art Museum, Cincinnati	painting	landscape	French	1851-1900	http://www.wga.hu/html/d/daubigny/charles/pool.html
10356	10356.jpg	DAUBIGNY, Charles-François	(b. 1817, Paris, d. 1878, Paris)	River Bank	1866	Oil on panel, 27 x 46 cm	The Hermitage, St. Petersburg	painting	landscape	French	1851-1900	http://www.wga.hu/html/d/daubigny/charles/riverban.html
10357	10357.jpg	DAUBIGNY, Charles-François	(b. 1817, Paris, d. 1878, Paris)	Seashore at Villerville	1875	Oil on canvas, 85 x 149 cm	The Hermitage, St. Petersburg	painting	landscape	French	1851-1900	http://www.wga.hu/html/d/daubigny/charles/seashore.html
10358	10358.jpg	DAUBIGNY, Charles-François	(b. 1817, Paris, d. 1878, Paris)	The Sluice-gate at Optevoz (Isère)	1859	Oil on canvas, 48 x 73 cm	Musée du Louvre, Paris	painting	landscape	French	1851-1900	http://www.wga.hu/html/d/daubigny/charles/sluicega.html
10360	10360.jpg	DAUBIGNY, Karl	(b. 1846, Paris, d. 1886, Auvers-sur-Oise)	Landscape with River, Sunset	1865	Oil on canvas, 112 x 164 cm	Private collection	painting	landscape	French	1851-1900	http://www.wga.hu/html/d/daubigny/karl/sunset.html
10361	10361.jpg	DAUBIGNY, Karl	(b. 1846, Paris, d. 1886, Auvers-sur-Oise)	In the Woods	-	Oil on canvas, 94 x 65 cm	Private collection	painting	landscape	French	1851-1900	http://www.wga.hu/html/d/daubigny/karl/woods.html
10364	10364.jpg	DAUCHER, Hans	(b. ca. 1485, Ulm, d. ca. 1538, Stuttgart)	Allegory of Virtues and Vices at the Court of Charles V	1522	Limestone, 28 x 47 cm	Metropolitan Museum of Art, New York	sculpture	mythological	German	1501-1550	http://www.wga.hu/html/d/daucher/hans/allegor.html
10365	10365.jpg	DAUCHER, Hans	(b. ca. 1485, Ulm, d. ca. 1538, Stuttgart)	Allegory of Virtues and Vices at the Court of Charles V (detail)	1522	Limestone	Metropolitan Museum of Art, New York	sculpture	mythological	German	1501-1550	http://www.wga.hu/html/d/daucher/hans/allegor1.html
10367	10367.jpg	DAUCHER, Hans	(b. ca. 1485, Ulm, d. ca. 1538, Stuttgart)	Charles V on Horseback	1522	Stone relief, 19 x 13 cm	Tiroler Landesmuseum Ferdinandeum, Innsbruck	sculpture	portrait	German	1501-1550	http://www.wga.hu/html/d/daucher/hans/charles5.html
10370	10370.jpg	DAULLÉ, Jean	(b. 1703, Abbeville, d. 1763, Paris)	Portrait of Anastasia Ioannovna, Landgravine of Hesse-Homburg	1761	Engraving, 576 x 430 mm	The Hermitage, St. Petersburg	graphics	portrait	French	1701-1750	http://www.wga.hu/html/d/daulle/landgrav.html
10371	10371.jpg	DAUMIER, Honoré	(b. 1808, Marseille, d. 1879, Valmondois)	Laurent Cunin, Politician (The Angry Man)	1832-35	Oil-glazed clay, height 15 cm	Musée d'Orsay, Paris	sculpture	portrait	French	1801-1850	http://www.wga.hu/html/d/daumier/01angry.html
10372	10372.jpg	DAUMIER, Honoré	(b. 1808, Marseille, d. 1879, Valmondois)	Jean-Auguste Chevandier de Valdrome, Parliamentarian (The Fool)	1832-35	Oil-glazed clay, height 19 cm	Musée d'Orsay, Paris	sculpture	portrait	French	1801-1850	http://www.wga.hu/html/d/daumier/01fool.html
10373	10373.jpg	DAUMIER, Honoré	(b. 1808, Marseille, d. 1879, Valmondois)	Charles Philipon	c. 1833	Unbaked clay, tinted, 16,4 x 13 x 10,6 cm	Musée d'Orsay, Paris	sculpture	portrait	French	1801-1850	http://www.wga.hu/html/d/daumier/01philip.html
10374	10374.jpg	DAUMIER, Honoré	(b. 1808, Marseille, d. 1879, Valmondois)	Charles Philipon	c. 1833	Unbaked clay, tinted, 16,4 x 13 x 10,6 cm	Musée d'Orsay, Paris	sculpture	portrait	French	1801-1850	http://www.wga.hu/html/d/daumier/02philip.html
10378	10378.jpg	DAUMIER, Honoré	(b. 1808, Marseille, d. 1879, Valmondois)	Ratapoil (front view)	c. 1850	Bronze, height 38 cm	Musée d'Orsay, Paris	sculpture	portrait	French	1801-1850	http://www.wga.hu/html/d/daumier/051ratap.html
10382	10382.jpg	DAUMIER, Honoré	(b. 1808, Marseille, d. 1879, Valmondois)	Family on the Barricades in 1848	1854	Oil on canvas, 74 x 92 cm	Národní Galerie, Prague	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/daumier/062barri.html
10396	10396.jpg	DAUZATS, Adrien	(b. 1804, Bordeaux, d. 1868, Paris)	Passage of the Iron Gates in Algeria	1840	Oil on canvas, 150 x 130 cm	Musée des Beaux-Arts, Orléans	painting	landscape	French	1801-1850	http://www.wga.hu/html/d/dauzats/algeria.html
10397	10397.jpg	DAUZATS, Adrien	(b. 1804, Bordeaux, d. 1868, Paris)	Mosque of Cairo	1840	Oil on canvas, 35 x 27 cm	Private collection	painting	landscape	French	1801-1850	http://www.wga.hu/html/d/dauzats/cairo.html
10398	10398.jpg	DAUZATS, Adrien	(b. 1804, Bordeaux, d. 1868, Paris)	The Giralda, Seville	1836-37	Oil on paper, laid down on canvas, 21 x 30 cm	Metropolitan Museum of Art, New York	painting	landscape	French	1801-1850	http://www.wga.hu/html/d/dauzats/giralda.html
10401	10401.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	Sorrow	1811	Plaster, height 55 cm	Private collection	sculpture	mythological	French	1801-1850	http://www.wga.hu/html/d/david_a/1/01davida.html
10402	10402.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	The Death of Epaminondas	1811	Plaster bas-relief, 110 x 150 cm	Private collection	sculpture	mythological	French	1801-1850	http://www.wga.hu/html/d/david_a/1/02davida.html
10403	10403.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	Nereid Bringing the Helmet of Achilles	1815	Plaster bas-relief, 107 x 183 cm	Private collection	sculpture	mythological	French	1801-1850	http://www.wga.hu/html/d/david_a/1/03davida.html
10404	10404.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	Young Shepherd	1816	Marble, height 150 cm	Private collection	sculpture	mythological	French	1801-1850	http://www.wga.hu/html/d/david_a/1/04davida.html
10405	10405.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	Condé	1817	Bronze, height 39 cm	Musée du Louvre, Paris	sculpture	portrait	French	1801-1850	http://www.wga.hu/html/d/david_a/1/05davida.html
10406	10406.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	Condé	1817	Plaster, height 24 cm	Private collection	sculpture	portrait	French	1801-1850	http://www.wga.hu/html/d/david_a/1/05davidb.html
10407	10407.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	General Bonchamps	1819-25	Marble, statue height 130 cm	Church, Saint-Florent-le-Vieil	sculpture	portrait	French	1801-1850	http://www.wga.hu/html/d/david_a/1/06davida.html
10408	10408.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	Mademoiselle Mars	1825	Marble, height 60 cm	Private collection	sculpture	portrait	French	1801-1850	http://www.wga.hu/html/d/david_a/1/07davida.html
10411	10411.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	The Actor Talma	1827	Terracotta, 43 x 24 cm	Musée des Beaux-Arts, Angers	sculpture	portrait	French	1801-1850	http://www.wga.hu/html/d/david_a/1/09davida.html
10412	10412.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	Philopoemen	1830	Marble, height 246 cm	Musée du Louvre, Paris	sculpture	mythological	French	1801-1850	http://www.wga.hu/html/d/david_a/1/10davida.html
10413	10413.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	Chateaubriand	1830	Plaster, height 60 cm	Private collection	sculpture	portrait	French	1801-1850	http://www.wga.hu/html/d/david_a/1/11davida.html
10414	10414.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	Niccolò Paganini	1830	Bronze, 60 x 30 cm	Musée des Beaux-Arts, Angers	sculpture	portrait	French	1801-1850	http://www.wga.hu/html/d/david_a/1/12davida.html
10415	10415.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	Gutenberg	1840	Bronze, height 340 cm	Place Gutenberg, Strasbourg	sculpture	portrait	French	1801-1850	http://www.wga.hu/html/d/david_a/1/13davida.html
10417	10417.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	Alfred de Musset	1831	Cast bronze, diameter 17,2 cm	Private collection	sculpture	portrait	French	1801-1850	http://www.wga.hu/html/d/david_a/2/21davida.html
10418	10418.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	François Arago	1832	Bronze medallion	Private collection	sculpture	portrait	French	1801-1850	http://www.wga.hu/html/d/david_a/2/22davida.html
10419	10419.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	Marceline Valmore	1832	Bronze medal, diameter 15 cm	Musée du Louvre, Paris	sculpture	portrait	French	1801-1850	http://www.wga.hu/html/d/david_a/2/23davida.html
10420	10420.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	Niccolò Paganini	1834	Cast bronze, diameter 15 cm	Private collection	sculpture	portrait	French	1801-1850	http://www.wga.hu/html/d/david_a/2/24davida.html
10421	10421.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	Pediment relief of the Pantheon	1830-37	Stone, height 600 cm, width 3.080 cm	Place du Panthéon, Paris	sculpture	mythological	French	1801-1850	http://www.wga.hu/html/d/david_a/2/25davida.html
10422	10422.jpg	DAVID d'Angers	(b. 1788, Angers, d. 1856, Paris)	Pediment relief of the Pantheon	1830-37	Stone, height 600 cm, width 3.080 cm	Place du Panthéon, Paris	sculpture	mythological	French	1801-1850	http://www.wga.hu/html/d/david_a/2/26davida.html
10450	10450.jpg	DAVID, Gerard	(b. ca. 1460, Oudewater, d. 1523, Bruges)	Forest scenes	1505-15	Oil on panel, 90 x 31 cm (each)	Rijksmuseum, Amsterdam	painting	landscape	Flemish	1501-1550	http://www.wga.hu/html/d/david/1/triptic2.html
10480	10480.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of François Buron	1769	Oil on canvas, 65 x 54 cm	Private collection	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/1/101david.html
10481	10481.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of Marie-Françoise Buron	c. 1769	Oil on canvas, 66 x 54 cm	Musée National des Beaux-Arts, Algiers	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/1/102david.html
10482	10482.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	The Combat of Mars and Minerva	1771	Oil on canvas, 146 x 181 cm	Musée du Louvre, Paris	painting	mythological	French	1801-1850	http://www.wga.hu/html/d/david_j/1/103david.html
10489	10489.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Count Potocki	1781	Oil on canvas, 304 x 218 cm	Muzeum Narodowe, Warsaw	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/1/110david.html
10490	10490.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of Jacques-François Desmaisons	1782	Oil on canvas, 92 x 72 cm	Albright-Knox Art Gallery, Buffalo	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/1/111david.html
10492	10492.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Andromache Mourning Hector	1783	Oil on canvas, 275 x 203 cm	Musée du Louvre, Paris	painting	mythological	French	1801-1850	http://www.wga.hu/html/d/david_j/1/113david.html
10493	10493.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of Doctor Alphonse Leroy	1783	Oil on canvas, 72 x 91 cm	Musée Fabre, Montpellier	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/1/114david.html
10499	10499.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of Philippe-Laurent de Joubert	c. 1786	Oil on canvas, 127 x 96 cm	Musée Fabre, Montpellier	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/2/2041davi.html
10500	10500.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	The Loves of Paris and Helen	1788	Oil on canvas, 144 x 180 cm	Musée du Louvre, Paris	painting	mythological	French	1801-1850	http://www.wga.hu/html/d/david_j/2/204david.html
10502	10502.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of Antoine-Laurent and Marie-Anne Lavoisier	1788	Oil on canvas, 256 x 195 cm	Metropolitan Museum of Art, New York	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/2/206david.html
10503	10503.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of Antoine-Laurent and Marie-Anne Lavoisier (detail)	1788	Oil on canvas	Metropolitan Museum of Art, New York	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/2/207david.html
10505	10505.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Self-Portrait	c. 1790	Oil on canvas, 63 x 52 cm	Pushkin Museum, Moscow	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/2/209david.html
10506	10506.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Anne-Marie-Louise Thélusson, Comtesse de Sorcy	1790	Oil on canvas, 129 x 97 cm	Neue Pinakothek, Munich	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/2/210david.html
10507	10507.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of the Marquise d'Orvilliers	1790	Oil on canvas, 131 x 98 cm	Musée du Louvre, Paris	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/2/211david.html
10508	10508.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of Madame Adélaide Pastoret	1791-92	Oil on canvas, 130 x 97 cm	Art Institute, Chicago	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/2/212david.html
10509	10509.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Self-Portrait	1791	Oil on canvas, 64 x 53 cm	Galleria degli Uffizi, Florence	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/2/213david.html
10511	10511.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Madame Trudaine	c. 1792	Oil on canvas, 130 x 98 cm	Musée du Louvre, Paris	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/2/215david.html
10515	10515.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of the Artist	1794	Oil on canvas, 81 x 64 cm	Musée du Louvre, Paris	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/3/304david.html
10516	10516.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Jacobus Blauw	1795	Oil on canvas, 92 x 73 cm	National Gallery, London	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/3/305david.html
10517	10517.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of Gaspar Mayer	1795	Oil on canvas, 116 x 90 cm	Musée du Louvre, Paris	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/3/306david.html
10518	10518.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of Emilie Sériziat and her Son	1795	Oil on canvas, 131 x 96 cm	Musée du Louvre, Paris	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/3/307david.html
10519	10519.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of Pierre Sériziat	1795	Oil on canvas, 129 x 95 cm	Musée du Louvre, Paris	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/3/308david.html
10520	10520.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of General Bonaparte	1797	Oil on canvas, 81 x 65 cm	Musée du Louvre, Paris	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/3/309david.html
10521	10521.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Madame Raymond de Verninac	1798-99	Oil on canvas, 145 x 112 cm	Musée du Louvre, Paris	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/3/310david.html
10526	10526.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Madame Récamier	1800	Oil on canvas, 173 x 244 cm	Musée du Louvre, Paris	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/4/401david.html
10530	10530.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of Ingres	1800s	Oil on canvas, 54 x 47 cm	Pushkin Museum, Moscow	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/4/404david.html
10536	10536.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of Pope Pius VII	1805	Oil on canvas, 86 x 71 cm	Musée du Louvre, Paris	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/4/410david.html
10537	10537.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Sappho and Phaon	1809	Oil on canvas, 225 x 262 cm	The Hermitage, St. Petersburg	painting	mythological	French	1801-1850	http://www.wga.hu/html/d/david_j/4/411david.html
10538	10538.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Napoleon in his Study	1812	Oil on canvas, 204 x 125 cm	National Gallery of Art, Washington	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/4/412david.html
10539	10539.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of Marguerite-Charlotte David	1813	Oil on canvas, 72 x 63 cm	National Gallery of Art, Washington	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/4/413david.html
10542	10542.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of the Comtesse Vilain XIIII and her Daughter	1816	Oil on canvas, 95 x 76 cm	National Gallery, London	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/5/501david.html
10543	10543.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of Emmanuel-Joseph Sieyès	1817	Oil on canvas, 98 x 74 cm	Fogg Art Museum, Harvard University, Cambridge	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/5/502david.html
10544	10544.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Cupid and Psyche	1817	Oil on canvas, 184 x 242 cm	Museum of Art, Cleveland	painting	mythological	French	1801-1850	http://www.wga.hu/html/d/david_j/5/503david.html
10545	10545.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	The Farewell of Telemachus and Eucharis	1818	Oil on canvas, 87 x 103 cm	Private collection	painting	mythological	French	1801-1850	http://www.wga.hu/html/d/david_j/5/504david.html
10546	10546.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Mars Disarmed by Venus and the Three Graces	1824	Oil on canvas, 308 x 262 cm	Musées Royaux des Beaux-Arts, Brussels	painting	mythological	French	1801-1850	http://www.wga.hu/html/d/david_j/5/505david.html
10547	10547.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Mars Disarmed by Venus and the Three Graces (detail)	1824	Oil on canvas	Musées Royaux des Beaux-Arts, Brussels	painting	mythological	French	1801-1850	http://www.wga.hu/html/d/david_j/5/506david.html
10548	10548.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	The Anger of Achilles, or Sacrifice of Iphigénie	1825	Oil on canvas, 110 x 151 cm	Private collection	painting	mythological	French	1801-1850	http://www.wga.hu/html/d/david_j/5/507david.html
10549	10549.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Sorrow	1773	Coloured chalks on paper, 535 x 410 mm	École Nationale Supérieure des Beaux-Arts, Paris	graphics	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/6/601david.html
10550	10550.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	View of the Tiber and Castel St Angelo	1776-77	Grey wash over black chalk, 166 x 220 mm	Musée du Louvre, Paris	graphics	landscape	French	1801-1850	http://www.wga.hu/html/d/david_j/6/602david.html
10551	10551.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Minerva	1776-77	Pen, ink and wash, 212 x 150 mm	Musée du Louvre, Paris	graphics	mythological	French	1801-1850	http://www.wga.hu/html/d/david_j/6/603david.html
10565	10565.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Woman in a Turban	1794	Pen and brown ink, 370 x 260 mm	Private collection	graphics	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/7/705david.html
10566	10566.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Homer Reciting his Verses to the Greeks	1794	Black and red chalk, pen, ink and wash, 272 x 345 mm	Musée du Louvre, Paris	graphics	mythological	French	1801-1850	http://www.wga.hu/html/d/david_j/7/706david.html
10567	10567.jpg	DAVID, Jacques-Louis	(b. 1748, Paris, d. 1825, Bruxelles)	Portrait of Jeanbon Saint-André	1795	Pen, black ink, wash and white highlights, diameter 182 mm	Art Institute, Chicago	graphics	portrait	French	1801-1850	http://www.wga.hu/html/d/david_j/7/707david.html
10573	10573.jpg	DAVID, Jérôme	(b. ca. 1605, Paris, d. ca. 1670, Roma)	Artemisia Gentileschi	c. 1627	Engraving	Bibliothèque Nationale, Paris	graphics	portrait	French	1601-1650	http://www.wga.hu/html/d/david_je/artemisi.html
10575	10575.jpg	DAWE, George	(b. 1781, London, d. 1829, London)	Portrait of Dmitry V. Golitsyn	c. 1825	Oil on canvas, 70 x 63 cm	The Hermitage, St. Petersburg	painting	portrait	English	1801-1850	http://www.wga.hu/html/d/dawe/golitsyn.html
10576	10576.jpg	DAWE, George	(b. 1781, London, d. 1829, London)	Portrait of Grand Duke Nikolai Pavlovich	after 1821	Oil on canvas	The Hermitage, St. Petersburg	painting	portrait	English	1801-1850	http://www.wga.hu/html/d/dawe/granduke.html
10577	10577.jpg	DAWE, George	(b. 1781, London, d. 1829, London)	Portrait of Alexander P. Kutuzov	c. 1825	Oil on canvas, 70 x 63 cm	The Hermitage, St. Petersburg	painting	portrait	English	1801-1850	http://www.wga.hu/html/d/dawe/kutuzova.html
10578	10578.jpg	DAWE, George	(b. 1781, London, d. 1829, London)	Portrait of Mikhail Kutuzov	1829	Oil on canvas, 361 x 258 cm	The Hermitage, St. Petersburg	painting	portrait	English	1801-1850	http://www.wga.hu/html/d/dawe/kutuzovm.html
10579	10579.jpg	DAWE, George	(b. 1781, London, d. 1829, London)	Portrait of Alexander Shishkov	c. 1826	Oil on canvas, 103 x 78 cm	The Hermitage, St. Petersburg	painting	portrait	English	1801-1850	http://www.wga.hu/html/d/dawe/shishkov.html
10580	10580.jpg	DAWE, George	(b. 1781, London, d. 1829, London)	Portrait of Pyotr M. Volkonsky	c. 1825	Oil on canvas, 70 x 63 cm	The Hermitage, St. Petersburg	painting	portrait	English	1801-1850	http://www.wga.hu/html/d/dawe/volkonsk.html
10581	10581.jpg	DAWE, George	(b. 1781, London, d. 1829, London)	Portrait of Duke of Wellington	1829	Oil on canvas, 317 x 185 cm	The Hermitage, St. Petersburg	painting	portrait	English	1801-1850	http://www.wga.hu/html/d/dawe/wellingt.html
10582	10582.jpg	DE BAY, Jean	(b. 1802, Nantes, d. 1862, Paris)	The Spirit of the Hunt	1836-38	Bronze	Cour Puget, Palais du Louvre, Paris	sculpture	mythological	French	1801-1850	http://www.wga.hu/html/d/de_bay/son/spirit.html
10583	10583.jpg	DE BAY, Jean-Baptiste-Joseph	(b. 1779, Mechelen, d. 1863, Paris)	Atropos Preparing to Cut the Thread	1827	Plaster, 128 x 73 cm	Private collection	sculpture	mythological	French	1801-1850	http://www.wga.hu/html/d/de_bay/father/atropos.html
10589	10589.jpg	DE CORTE, Josse	(b. 1627, Ypres, d. 1679, Venezia)	Telamon	1660s	Marble	Ospedaletto, Venice	sculpture	mythological	Flemish	1651-1700	http://www.wga.hu/html/d/de_corte/osped2.html
10591	10591.jpg	DEÁK-ÉBNER, Lajos	(b. 1850, Pest, d.1934, Budapest)	Riverside	1877-80	Oil on canvas mounted on cardboard, 34 x 50 cm	Magyar Nemzeti Galéria, Budapest	painting	landscape	Hungarian	1851-1900	http://www.wga.hu/html/d/deak-ebn/1riversi.html
10592	10592.jpg	DEÁK-ÉBNER, Lajos	(b. 1850, Pest, d.1934, Budapest)	Road of the Wild Mallows	c. 1880	Oil on canvas, 37 x 78 cm	Magyar Nemzeti Galéria, Budapest	painting	landscape	Hungarian	1851-1900	http://www.wga.hu/html/d/deak-ebn/2mallows.html
10603	10603.jpg	DECAMPS, Alexandre Gabriel	(b. 1803, Paris, d. 1860, Fontainebleau)	Before a Mosque in Cairo	c. 1868	Oil on panel, 41 x 31 cm	The Hermitage, St. Petersburg	painting	landscape	French	1801-1850	http://www.wga.hu/html/d/decamps/mosque.html
10604	10604.jpg	DECAMPS, Alexandre Gabriel	(b. 1803, Paris, d. 1860, Fontainebleau)	Self-Portrait	1830-32	Oil on canvas, 33 x 25 cm	The Hermitage, St. Petersburg	painting	portrait	French	1801-1850	http://www.wga.hu/html/d/decamps/selfport.html
